Stomach cancer	stomach_cancer
Peptic ulcer (stomach or duodenum)	peptic_ulcer
Appendicitis	appendicitis
Inguinal hernia	inguinal_hernia
Hiatal hernia	hiatal_hernia
Crohn's disease	crohns_disease
Ulcerative colitis	ulcerative_colitis
Diverticulosis	diverticulosis
Irritable bowel syndrome (IBS)	irritable_bowel_syndrome
Rectal prolapse	rectal_prolapse
Acute liver failure	acute_liver_failure
Chronic liver disease and cirrhosis	chronic_liver_disease_and_cirrhosis
Nonalcoholic fatty liver disease (NAFLD)	nonalcoholic_fatty_liver_disease
Gallstones	gallstones
Celiac disease	celiac_disease
Kidney stone(s)	kidney_stone
Acute kidney failure	acute_kidney_failure
Chronic kidney failure	chronic_kidney_failure
Urinary tract infection (UTI)	urinary_tract_infection
Urethral diverticulum	urethral_diverticulum
Benign prostatic hypertrophy (BPH)	benign_prostatic_hypertrophy
Male infertility	male_infertility
Peyronie's disease	peyronies_disease
Spermatocele	spermatocele
Fibrocystic breast disease	fibrocystic_breast_disease
Bartholin's cyst	bartholins_cyst
Endometriosis	endometriosis
Uterine prolapse	uterine_prolapse
Ovarian cysts	ovarian_cysts
Female infertility	female_infertility
Pilonidal cyst	pilonidal_cyst
Dandruff	dandruff
Eczema	eczema
Allergic contact dermatitis	allergic_contact_dermatitis
Rosacea	rosacea
Psoriasis	psoriasis
Lichen planus	lichen_planus
Keloids	keloids
Skin tags	skin_tags
Hair loss (includes female and male pattern baldness)	hair_loss
Alopecia areata	alopecia_areata
Hyperhidrosis (excessive sweating)	hyperhidrosis
Hidradenitis suppurativa	hidradenitis_suppurativa
Acne	acne
Dermatographia	dermatographia
Cafe au lait spots	cafe_au_lait_spots
Systemic lupus erythematosus	systemic_lupus_erythematosus
Sjogren's syndrome (Sicca syndrome)	sjogrens_syndrome
Rheumatoid arthritis	rheumatoid_arthritis
Osteoarthritis	osteoarthritis
Chondromalacia patella (CMP)	chondromalacia_patella
Spinal stenosis	spinal_stenosis
Sciatica	sciatica
Frozen shoulder	frozen_shoulder
Rotator cuff tear	rotator_cuff_tear
Tennis elbow	tennis_elbow
Achilles tendinitis	achilles_tendinitis
Bone spurs	bone_spurs
Trigger finger	trigger_finger
Bunions	bunions
Dupuytren's contracture	dupuytrens_contracture
Plantar fasciitis	plantar_fasciitis
Fibromyalgia	fibromyalgia
Scheuermann's kyphosis	scheuermanns_kyphosis
Osgood-Schlatter disease	osgood-schlatter_disease
Osteoporosis	osteoporosis
Flatfeet (fallen arches)	flatfeet
Postural kyphosis	postural_kyphosis
Scoliosis	scoliosis
Spina bifida	spina_bifida
Congenital ocular coloboma	congenital_ocular_coloboma
Congenital heart defect	congenital_heart_defect
Cleft palate	cleft_palate
Cleft uvula	cleft_uvula
Cleft lip	cleft_lip
Tongue tie (ankyloglossia)	tongue_tie
Bifid tongue (cleft tongue)	bifid_tongue
Infantile pyloric stenosis	infantile_pyloric_stenosis
Hirschsprung's disease	hirschsprungs_disease
Hypospadias	hypospadias
Renal agenesis (missing kidney)	renal_agenesis
Polycystic kidney disease	polycystic_kidney_disease
Congenital hydronephrosis	congenital_hydronephrosis
Developmental dysplasia of the hip	developmental_dysplasia_of_the_hip
Congenital clubfoot (equinovarus)	congenital_clubfoot
Polydactyly	polydactyly
Syndactyly (webbing of digits)	syndactyly
Ehlers-Danlos syndrome	ehlers-danlos_syndrome
Ichthyosis vulgaris	ichthyosis_vulgaris
Single transverse palmar crease (simian crease)	single_transverse_palmar_crease
Marfan syndrome	marfan_syndrome
ethnicity-EA	ethnicity-EA
ethnicity-AA	ethnicity-AA
ethnicity-HL	ethnicity-HL
ethnicity-NIAS	ethnicity-NIAS
ethnicity-NH	ethnicity-NH
ethnicity-AS	ethnicity-AS
bloodGroup_A	bloodGroup_A
bloodGroup_B	bloodGroup_B
bloodGroup_AB	bloodGroup_AB
bloodGroup_O	bloodGroup_O
chrY	chrY
